stock    ,  jan , feb , mar , apr , may , jun , jul , aug , sep , okt , nov , dec
AAPL     ,  0   , 0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0
ABB.ST   ,  0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
AXFO.ST  ,  0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
BOL.ST   ,  0   , 0   , 0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0
CAST.ST  ,  0   , 0   , 0.5 , 0   , 0   , 0   , 0   , 0   , 0.5 , 0   , 0   , 0
HUFV-A.ST,  0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
HEMF.ST  ,  0.33, 0   , 0   , 0   , 0   , 0   , 0.33, 0   , 0   , 0.33, 0   , 0
ICA.ST   ,  0   , 0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
JPM      ,  0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0
KO       ,  0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0.25, 0
LUND-B.ST,  0   , 0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
SEB-A.ST ,  0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
SHB-A.ST ,  0   , 0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
SWED-A.ST,  0   , 0   , 0   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0
T        ,  0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0   , 0.25, 0   , 0.1
